x	y_6	y_9	y_12
0.3	3.546	5.84	8.38
0.6	3.374	5.62	8.18
0.9	3.19	5.37	8
1.2	3.02	5.16	7.8
1.5	2.84	4.94	7.6
1.8	2.65	4.74	7.4
2.1	2.45	4.53	7.2
2.4	2.25	4.35	7
2.7	2.04	4.16	6.8
3	1.83	3.98	6.6
3.3	1.61	3.81	6.4
3.6	1.39	3.63	6.21
3.9	1.17	3.43	6.02
4.2	0.97	3.26	5.83
4.5	0.76	3.05	5.64
4.8	0.58	2.84	5.45
5.1	0.41	2.64	5.26
5.4	0.25	2.41	5.07
5.7	0.13	2.18	4.88
6	0.05	1.94	4.7
6.3	0.01	1.7	4.5
6.6		1.76	4.3
6.9		1.24	4.08
7.2		1.01	3.85
7.5		0.8	3.61
7.8		0.59	3.35
8.1		0.41	3.11
8.4		0.25	2.83
8.7		0.12	2.55
9		0.04	2.26
9.3			1.97
9.6			1.61
9.7			
